what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1393003887166
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1393003887169
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1393003887189
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1393003887207
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1393003887209
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1393003887211
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1393003887213
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1393003887215
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1393003887217
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1393003887220
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1393003887222
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1393003887224
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1393003887226
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1393003887229
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1393003887231
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1393003887233
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1393003887272
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1393003887274
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1393003887277
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393003887278
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1393003887281
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393003887282
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1393003887282
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1393003887283
os,sysinfo,,,"win32",1393003887291
arch,sysinfo,,,"x86",1393003887291
ws,sysinfo,,,"win32",1393003887291
locale,sysinfo,,,"en_US",1393003887292
processors,sysinfo,,,"4",1393003887292
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393003887292
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1393003887292
java.specification.name,sysinfo,,,"Java Platform API Specification",1393003887292
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393003887292
java.specification.version,sysinfo,,,"1.7",1393003887292
java.vendor,sysinfo,,,"Oracle Corporation",1393003887292
java.version,sysinfo,,,"1.7.0_17",1393003887292
java.vm.info,sysinfo,,,"mixed mode, sharing",1393003887292
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1393003887292
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393003887292
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1393003887292
java.vm.specification.version,sysinfo,,,"1.7",1393003887292
java.vm.vendor,sysinfo,,,"Oracle Corporation",1393003887292
java.vm.version,sysinfo,,,"23.7-b01",1393003887292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393003904292
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1393003922433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393003936211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1393003936230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393003943746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393003952054
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393003952315
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1393003953002
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1393003953017
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1393003953467
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1393003953471
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1393003953474
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1393003953477
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1393003953480
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1393003953482
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1393003953485
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1393003953485
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1393003953490
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1393003953492
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1393003953495
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1393003953497
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1393003953501
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1393003953503
